"CompanyID","Active","CompanyName","CompanyTypeID","WorkTypeID","Address","Road","Village","District","Province","Zipcode","Telephone","Travel","lat","lon"
"21","0","การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย ฝ่ายสิ่งแวดล้อม ","2",NULL,"โครงการ 53 หมู่ 3 ถ.จ","จรัญสนิทวงศ์ ",,"บางกรวย","นนทบุรี","11130",NULL,NULL,NULL,NULL
"22","0","บริษัท เบนซ์ บีเคเค วิภาวดี จำกัด","3",NULL,"99","ถ.วิภาวดี-รังสิต 40 ","ลาดยาว ","จตุจักร","กรุงเทพมหานคร","10900",NULL,NULL,NULL,NULL
"23","0","กรมส่งเสริมการเกษตร","1",NULL," 2143-1","พหลโยธิน",NULL,"จตุจักร","กรุงเทพมหานคร","10900",NULL,NULL,NULL,NULL
"24","0","โรงพยาบาลเจ้าพระยา ศูนย์คอมพิวเตอร์","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"25","0","โรงพยาบาลสำเด็จพระปิ่นเกล้า","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"26","0","บริษัท พรีเมียม 360 จำกัด","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"28",,"บริษัท แมกเนทกรุ๊ปพลัส","3",NULL,"68/940-942 หมู่8 ซ.รัตนาธิเบศร์28   ต.บางกระสอ ","รัตนาธิเบศร์",,"เมือง","นนทบุรี","11000","02-8349500",NULL,NULL,NULL
"29",,"สถานีวิทยุโทรทัศน์กองทัพบก","1",NULL,"210","พหลโยธิน",NULL,"พญาไท","กรุงเทพมหานคร","10400","02-2388555",NULL,NULL,NULL
"30",,"การไฟฟ้านครหลวง สาขาบางบัวทอง","2",NULL,"38/2 ม.10 ถ.บางกรวย-ไทรน้อย ต.บางเลน ","บางกรวย-ไทรน้อย",NULL,"บางใหญ่","นนทบุรี","11140","02-8343200",NULL,NULL,NULL
"31","1","บริษัท บุญรอดบริเวอรี่ จำกัด","3",NULL,"999 ","สามเสน",NULL,"ดุสิต","กรุงเทพมหานคร","10300","02-242-4000",NULL,NULL,NULL
"32",,"บริษัท Jabjai for school","3",NULL,"812/36 ซอยสมชาย ซอย 3 แขวงวัดท่าพระ","จรัญสนิทวงศ์",,"บางกอกใหญ่","กรุงเทพมหานคร","10600","098-9541797",NULL,NULL,NULL
"33",,"บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)","3",NULL,"414 อาคารเอไอเอส 1 ชั้น 12 แขวงสามเสนใน ","พหลโยธิน",NULL,"พญาไท","กรุงเทพมหานคร","10400","02-0294241",NULL,NULL,NULL
"34",,"บริษัท พระนครซอฟต์ จำกัด","3",NULL,"250 ลาดพร้าว 63 แยก 6 วังทองหลาง ","ลาดพร้าว",NULL,"วังทองหลาง","กรุงเทพมหานคร","10310","02-042-1140",NULL,NULL,NULL
"35",,"สำนักงานส่งเสริมวิสาหกิจขนาดกลางและขนาดย่อม (สสว.)","1",NULL,"21 อาคารทีเอสที ชั้น G,17,18,23","วิภาวดีรังสิต",NULL,"จตุุจักร","กรุงเทพมหานคร","10900","02-2983117",NULL,NULL,NULL
"36",,"การไฟฟ้านครหลวง เขตนนทบุรี
","2",NULL,"285 ต.บางกระสอ ","ติวานนท์",NULL,"เมือง","นนทบุรี","11000","02-9025203",NULL,NULL,NULL
"37",,"บริษัท บางกอก เว็บ โซลูชั่น จำกัด","3",NULL,"182 หมู่บ้านตะวันรุ่ง ซอย7 ถ.ลาดพร้าว64 แยก4 แขวงวังทองหลาง ","ลาดพร้าว",NULL,"วังทองหลาง","กรุงเทพมหานคร","10310","02-9339750-1",NULL,NULL,NULL
"38",,"บริษัท พีกาสัส อินเตอร์ โลจิสติคส์ จำกัด","3",NULL,"8 ซอยพหลโยธิน 46/2 ถ.พหลโยธิน แขวงอนุสาวรีย์ ","พหลโยธิน",NULL,"บางเขน","กรุงเทพมหานคร","10220","02-521-9358",NULL,NULL,NULL
"39",,"การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย แผนกวางแผนสารสนเทศ","2",NULL,"53 หมู่ 3 ","จรัญสนิทวงศ์ ",NULL,"บางกรวย","นนทบุรี","11130","02436110-1416",NULL,NULL,NULL
"40",,"กองอำนวยการรักษาความั่นคงภายในราชอาณาจักร ","1",NULL,"เลขที่ 8 ","ราชสีมา ",NULL,"ดุสิต","กรุงเทพมหานคร","10300","022412051-6",NULL,NULL,NULL
"41",,"บริษัท Inne product Co.,Ltd ","3",NULL,"155/58 Phulsa Privet, Soi Nawamin 111 ","นวมินทร์",,"บึงกุ่ม","กรุงเทพมหานคร","10240","819082026",NULL,NULL,NULL
"42",,"บริษัท คอนโทรล ดาต้า (ประเทศไทย) จำกัด","3",NULL,"202 ซีดีจีเฮ้าส์  แขวงช่องนนทรี ","นางลิ้นจี่",NULL,"ยานนาวา","กรุงเทพมหานคร","10120","026780200-1",NULL,NULL,NULL
"43","1","บริษัท ปัญญา คอนซัลแตนท์ จำกัด","3",NULL,"อาคาร เดอะ ปัณณ์ ชั้น3 เลขที่125 แขวงนวมินทร์"," คลองลำเจียก ",NULL,"บึงกุ่ม","กรุงเทพมหานคร","10230","02-9439600-10",NULL,NULL,NULL
"44",,"บริษัท ทีโอที จำกัด (มหาชน)","2",NULL,"89/2 ม.3  แขวงทุ่งสองห้อง ","แจ้งวัฒนะ",NULL,"หลักสี่","กรุงเทพมหานคร","10210","02-5051587",NULL,NULL,NULL
"45",,"บริษัท อักษรเจริญทัศน์ อจท.จำกัด","3",NULL,"142 ซอย แพร่งสรรพศาสตร์  แขวงศาลเจ้าพ่อเสือ ","ตะนาว",NULL,"พระนคร","กรุงเทพมหานคร","10200","02-6222999-2612",NULL,NULL,NULL
"46",,"บริษัท ปทุมธานี บริวเวอรี่ จำกัด","3",NULL,"2 ม.9 ซอยใจเอื้อ ",,"บางคูวัด","เมือง","ปทุมธานี","10200","02-5051587",NULL,NULL,NULL
"47",,"บริษัท สยามมิชลิน จำกัด","3",NULL,"32 ม.2 ต.สำโรงกลาง",NULL,NULL,"พะประแดง","สมุทรปราการ","10130","02-1834454-9",NULL,NULL,NULL
"48",,"กรมป้องกันสาธารณภัย ","1",NULL,,"อู่ทองนอก ",NULL,"ดุสิต","กรุงเทพมหานคร","10300","085-0208080",NULL,NULL,NULL
"49",,"บริษัท เครือแอทโฮม จำกัด","3",NULL,"41/42 ม.3  ต.บางกร่าง ","บางกรวย-ไทรน้อย",NULL,"เมือง","นนทบุรี","11000","02-9034172",NULL,NULL,NULL
"50",,"บริษัท KG Dataserve Co.,Ltd","3",NULL,"333-94  แขวงตลาดบางเขน ","กำแพงเพชร",,"หลักสี่","กรุงเทพมหานคร","10210","02-5761304-5",NULL,NULL,NULL
"51",,"บริษัท เอ็มดีซอฟท์ จำกัด",NULL,NULL,"999/95 หมู่บ้านซื่อตรงแกรนด์โฮม ซอย พหลโยธิน 34","พหลโยธิน",NULL,"บางเขน","กรุงเทพมหานคร",NULL,NULL,NULL,NULL,NULL
"52",,"บริษัท ซีเอส ล็อกซอินโฟ จำกัด (มหาชน)",NULL,NULL,"CW Tower 90","รัชดาภิเษก","ห้วยขวาง","ห้วยขวาง","กรุงเทพมหานคร","10310",NULL,NULL,NULL,NULL
"53",,"มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ",NULL,NULL,,NULL,NULL,NULL,"กรุงเทพมหานคร",NULL,NULL,NULL,NULL,NULL
"54",,"การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย แผนกวิศวกรรมเครื่องกล","2",NULL,"53 หมู่ 3 ","จรัญสนิทวงศ์ ",NULL,"บางกรวย","นนทบุรี","11130","02436110-1416",NULL,NULL,NULL
"55",,"การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย แผนกเทคโนโลยีสารสนเทศบุคคล","2",NULL,"53 หมู่ 3 ","จรัญสนิทวงศ์ ",NULL,"บางกรวย","นนทบุรี","11130","02436110-1416",NULL,NULL,NULL
"56","1","สำนักงานเลขาธิการสภาผู้แทนราษฏร สำนักสารสนเทศ",NULL,NULL,"1111","สามเสน","ถนนนครไชยศรี","ดุสิต ","กรุงเทพมหานคร ","10300","022425900",NULL,NULL,NULL
"58","1","บริษัท แฮปปี้แลนด์กรุ๊ป จำกัด",NULL,NULL,"90 ซอยศูนย์การค้าแฮปปี้แลนด์ ","ลาดพร้าว","คลองจั่น ","บางกะปิ ","กรุงเทพมหานคร ","10240",,NULL,NULL,NULL
"59","1","บริษัท บีเอสดีวีลอปเปอร์แอนด์กราฟฟิค จำกัด",NULL,NULL,"1111/8 ","ซอยลาดพร้าว 94 แขวงพลับพลา",NULL,"วังทองหลาง","กรุงเทพมหานคร",NULL,NULL,NULL,NULL,NULL
"60","1","การเคหะแห่งชาติ",NULL,NULL,"905","นวมินทร์","คลองจั่น ","บางกะปิ ","กรุงเทพมหานคร ","10240",,NULL,NULL,NULL
"61","1","บริษัท ออคตากอน อินเทอร์แอคทีฟ จำกัด",NULL,NULL,"919/541B ชั้น49 อาคาร Jewelry Trend Center","สีลม ซอย 19","บางรัก","สีลม","กรุงเทพมหานคร","10500","02-3516997",NULL,NULL,NULL
"62","1","บริษัท ซี.เจ. เอ็กซ์เพรส กรุ๊ป จำกัด",NULL,NULL,"393 อาคาร 393 สีลม ชั้น 5-6","สีลม","สีลม","บางรัก","กรุงเทพมหานคร ","10500 ",,NULL,NULL,NULL
"63","1","การประปาส่วนภูมิภาค สำนักงานใหญ่.  ",NULL,NULL,"72","แจ้งวัฒนะ","บางเขน","หลักสี่ ","กรุงเทพมหานคร","10210","02-5518523",NULL,NULL,NULL
"65","1","บริษัท Magic Software (Thailand) Corp., Ltd",NULL,NULL,"9/68 MST House ซ. รัชดาภิเษก33","รัชดาภิเษก ",,"จตุจักร ","กรุงเทพมหานคร","10900","02-9119988",NULL,NULL,NULL
"66","1","บริษัท KMIT-GROUP Co.,Ltd.",NULL,NULL,"อาคารคอสโม ออฟฟิศ พาร์ค ชั้น 5 ยูนิต I Popular 3",,"บ้านใหม่","ปากเกร็ด","นนทบุรี","11120","020491740-1",NULL,NULL,NULL
"67","1","บริษัท อิซปาล คอร์ปอเรชั่น จำกัด. 
",NULL,NULL,"299/22 หมู่บ้านวิสต้าปาร์ค","วิภาวดี-รังสิต","ตลาดบางเขน","หลักสี่ ","กรุงเทพมหานคร","10210","02-551767",NULL,NULL,NULL
"68","1","บริษัท ดิเอ็นเตอร์ไพรส์รีซอร์ส เทรนนิ่ง จำกัด
",NULL,NULL,"2922/135-136 ชั้น 3 (โซนพลาซ่า) ห้อง 331-332. อาคารชาญอิสสระทาวเวอร์ 2 ","เพชรบุรีตัดใหม่","บางกะปิ","ห้วยขวาง ","กรุงเทพมหานคร","10320 ","02-7181599",NULL,NULL,NULL
"69","1","บริษัท การบินไทย จำกัด (มหาชน) 
",NULL,NULL,"89","วิภาวดีรังสิต","จอมพล","จตุจักร ","กรุงเทพมหานคร","10900","02-5451371",NULL,NULL,NULL
"70","1","บริษัท Sellsuki CO. Ltd",NULL,NULL,"10/39 ชั้นที่ 3","รัชดาภิเษก ","จันทรเกษม","จตุจักร ","กรุงเทพมหานคร ","10900 ","02-0263250",NULL,NULL,NULL
"71","1","การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย
",NULL,NULL,"175","พระราม9",,"ห้วยขวาง ","กรุงเทพมหานคร","10320","02-7164000",NULL,NULL,NULL
"72","1","บริษัท เอส.จี.ดี.อินเตอร์ เทรดดิ้ง จำกัด
",NULL,NULL,"54/5-6 ซอยหน้าวัง ","เจริญกรุง ","วังบูรพาภิรมย์","พระนคร","กรุงเทพมหานคร","10200","02-222-0559 ",NULL,NULL,NULL
"73","1","บริษัท เอ-โฮสต์ จำกัด. 
",NULL,NULL,"979/53-55 อาคาร เอส เอ็ม ทาวเวอร์ ชั้น 21 ","พหลโยธิน ","สามเสนใน","พญาไท ","กรุงเทพมหานคร",," 0-2298-0625-32",NULL,NULL,NULL
"74","1","บริษัท เมโทรซิสเต็มส์คอร์ปอเรชั่น จำกัด (มหาชน)",NULL,NULL,"400","เฉลิมพระเกียรติ ร.9","หนองบอน","ประเวศ ","กรุงเทพมหานคร","10250",,NULL,NULL,NULL
"75","1","บริษัท ไทยสมเด็จ เซอร์วิส จำกัด
",NULL,NULL,"144ม144/1","พระราม 4","พระโขนง ","คลองเตย ","กรุงเทพมหานคร ","10110"," 02-3813883",NULL,NULL,NULL
"76","1","บริษัท หลักทรัพย์ เคที ซีมิโก้ จำกัด",NULL,NULL,"ชั้น 16 อาคารลิเบอร์ตี้สแควร์ 287","สีลม",,"บางรัก","กรุงเทพมหานคร","10500","695-5000",NULL,NULL,NULL
"77","1","บริษัท แมกนิทูด พลัส จำกัด 
",NULL,NULL,"ม.บ้านแกรนดิตี้ 369/54","บางกรวย-ไทรน้อย","บางบัวทอง ","บางบัวทอง ","นนทบุรี ","11110 ","088 277 0134 ",NULL,NULL,NULL
"78","1","บริษัท วาสอัพ จำกัด
",NULL,NULL,"18/281 หมู่บ้าน เดอะเทอเรส ซอยรามอินทรา65","ท่าแร้ง ",,"บางเขน ","กรุงเทพมหานคร","10220","082-44441644",NULL,NULL,NULL
"79","1","บริษัท แอดวานซ์ เน็ตเวิร์ค เทคโนโลยี แอนด์ เซอร์วิส จำกัด",NULL,NULL,"42/92 โครงการบ้านกลางเมือง รัตนาธิเบศร์","เลี่ยงเมืองนนทบุรี 10 ","บางกระสอ ","เมืองนนทบุรี ","นนทบุรี ","11000","083-1981470",NULL,NULL,NULL
"80","1","บริษัท ไพน์แอปเปิ้ลวิชั่นซิสเต็มส์ จำกัด. 
",NULL,NULL,"17 ซอยลาดปลาเค้า 18","ลาดปลาเค้า ","จรเข้บัว ","ลาดพร้าว ","กรุงเทพมหานคร","10230","094-484-3732.",NULL,NULL,NULL
"81","1","บริษัท ไพร์มโซลูชั่น แอนด์ เซอร์วิส จำกัด แผนก Network Engineering",NULL,NULL,"200 หมู่ 4 อาคารจัสมิน อินเตอร์เนชั่นแนล ชั้น 26 ห้อง 2602","แจ้งวัฒนะ","ปากเกร็ด","ปากเกร็ด","นนทบุรี","11120",,NULL,NULL,NULL
"82","1","การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย ฝ่ายพัฒนาบุคลากร",NULL,NULL,"55 หมู่ 2","จรัญสนิทวงศ์",,"บางกรวย","นนทบุรี","11130","02-4367170",NULL,NULL,NULL
"83","1","บริษัท สีวลี คอมพิวเตอร์ จำกัด ",NULL,NULL,"89/21 หมู่ 10",,"บางรักใหญ่","บางบัวทอง ","นนทบุรี ","11110",,NULL,NULL,NULL
"85","1","บริษัท ดี.ที.ซี.เอ็นเตอร์ไพรส์ จำกัด",NULL,NULL,"63 ซ.สุขุมวิท 68",,"บางนา ","บางนา ","กรุงเทพมหานคร","10260",,NULL,NULL,NULL
"86","1","บริษัท ไอดีซี พรีเมียร์ จำกัด",NULL,NULL,"200 ม.4 ชั้น 19 ห้อง 1901 จัสมินอินเตอร์เนชั่นแนลทาวเวอร์","แจ้งวัฒนะ ","ปากเกร็ด","เมือง","นนทบุรี","11120",,NULL,NULL,NULL
"87","1","บริษัท เอส เอฟ คอร์ปอเรชั่น จำกัด (มหาชน)",NULL,NULL,"444 ชั้น 10-12 อาคารเอ็ม บี เค ทาวเวอร์","พญาไท ","วังใหม่","ปทุมวัน ","กรุงเทพมหานคร","10330",,NULL,NULL,NULL
"88","1","บริษัท คอมพิวเตอร์ซิสเต็มอินทิเกรชั่น จำกัด",NULL,NULL,"76 ซ.รัตนาธิเบศร์ 28","รัตนาธิเบศร์","บางกระสอ","เมือง","นนทบุรี","11000",,NULL,NULL,NULL
"89","1","การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย",NULL,NULL,,,,,,,,NULL,NULL,NULL
"90","1","กระทรวงแรงงาน",NULL,NULL,"อาคารสำนักงานประกันสังคม ชั้น 9 ","มิตรไมตรี ","ดินแดง ","ดินแดง ","กรุงเทพมหานคร","10400",,NULL,NULL,NULL
"91","1","การประปานครหลวง",NULL,NULL,"400","ประชาชื่น","ทุ่งสองห้อง","หลักสี่","กรุงเทพมหานคร","10210",,NULL,NULL,NULL
"92","1","บริษัท เซลสุกิ จำกัด",NULL,NULL,"10/39 ชั้น 3 ","รัชดาภิเษก ","จันทรเกษม","จตุจักร ","กรุงเทพมหานคร","10900",,NULL,NULL,NULL
"93","1","เทศบาลนครนนทบุรี",NULL,NULL,"13 ซอยรัตนาธิเบศร์ 6","รัตนาธิเบศร์","บางกระสอ","เมือง","นนทบุรี","11000",,NULL,NULL,NULL
"94","1","บริษัท บลูบ๊อกซ์เทคโนโลยี จำกัด",NULL,NULL,"876/1","ประชาราษฎร์สาย 1 ","วงศ์สว่าง ","บางซื่อ ","กรุงเทพมหานคร","10800",,NULL,NULL,NULL
"96","1","บริษัท เพาเวอร์เมติค จำกัด",NULL,NULL,"50/1 ซ.ติวานนท์ 40 ถ.ต.","ติวานนท์ ","ท่าทราย","เมือง","นนทบุรี","11000",,NULL,NULL,NULL
"97","1","บริษัท ยูนิก้า อินโฟเทค จำกัด",NULL,NULL,"22/1 ยูนิค 2/1-2 อาคารไนซ์ ออฟฟิต แอนด์ แวร์เฮ้าส์ ซ.นนทบุรี 32 ",,"ท่าทราย ","เมือง","นนทบุรี ","11000",,NULL,NULL,NULL
"98","1","สถาบันมาตรวิทยาแห่งชาติ",NULL,NULL,"3 / 4-5 หมู่ที่ 3",,"คลองห้า","คลองหลวง","ปทุมธานี","12120",,NULL,NULL,NULL
"99","1","ธนาคารออมสิน สาขาปากเกร็ด",NULL,NULL,"100","แจ้งวัฒนะ ","ปากเกร็ด","เมือง","นนทบุรี","11120",,NULL,NULL,NULL
"100","1","บริษัท ไวซ ซอฟท์ จำกัด",NULL,NULL,"408/166 อาคารพหลโยธินเพลส ชั้น 41","พหลโยธิน ","สามเสนใน","พญาไท ","กรุงเทพมหานคร","10400",,NULL,NULL,NULL
"101","1","บริษัท แลนด์โก้ สปอร์ต แอนด์ มิวสิคเคิล จำกัด",NULL,NULL,"5/1 5/2 5/3 ซอยกาญจนาภิเษก 2",,"คลองบางบอน","บางบอน","กรุงเทพมหานคร","10150",,NULL,NULL,NULL
"102","1","บริษัท อาซาฮี-ไทย อัลลอย จำกัด",NULL,NULL,"9/23 ม.7 ","สุขสวัสดิ์","บางจาก ","พระประแดง ","สมุทรปราการ ","10310",,NULL,NULL,NULL
"103","1","กองทุนการออมแห่งชาติ",NULL,NULL,"420/1 อาคารเพ็ญศรี พิชัยสนิธ คณะสาธารณสุขศาสตร์ มหาวิทยาลัยมหิดล","ราชวิถี ","ทุ่งพญาไท","ราชเทวี ","กรุงเทพมหานคร","10400",,NULL,NULL,NULL
"104","1","บริษัท แอดวานซ์ คอนแท็คเซนเตอร์ จำกัด",NULL,NULL,"414","พหลโยธิน","สามเสนใน","พญาไท","กรุงเทพมหานคร","10400","020292562",NULL,NULL,NULL
"105","1","กรมทางหลวง",NULL,NULL,"2/486","ศรีอยุธยา",,"ราชเทวี","กรุงเทพมหานคร","10400",,NULL,NULL,NULL
"106","1","บริษัท ไนท์แฟรงค์ ชาร์เตอร์ (ประเทศไทย) จำกัด",NULL,NULL,"65/192 ชั้น 23 อาคารชำนาญ เพ็ญชาติ บิสเนส เซ็นเตอร์ ","พระราม 9","ห้วยขวาง ","ห้วยขวาง ","กรุงเทพมหานคร","10320",,NULL,NULL,NULL
"107","1","บริษัท ฟิวชั่น ซอฟต์ จำกัด",NULL,NULL,"77/148 อาคารสิทสาธรทาวเวอร์ ชั้น 34","กรุงธนบุรี ","คลองต้นไทร ","คลองสาน","กรุงเทพมหานคร","10600",,NULL,NULL,NULL
"108","1","บริษัท อักษร เนกซ์ จำกัด",NULL,NULL,"497","บอนด์สตร","บางพูด","ปากเกร็ด","นนทบุรี","11120",,NULL,NULL,NULL
"109","1","บริษัท เทคโนโลยีอินฟราสตรัคเจอร์ จำกัด",NULL,NULL,"137 ซ.สรินธร ถ. แขวง","สรินธร","บางบำหรุ","บางพลัด","กรุงเทพมหานคร","10700",,NULL,NULL,NULL
"110","1","บริษัท ฮาวเด้น แมกซี่ อินชัวรันส์ โบรกเกอร์ จำกัด",NULL,NULL," 2222/9","ลาดพร้าว","พลับพลา","วังทองหลาง ","กรุงเทพมหานคร","10310",,NULL,NULL,NULL
"111","1","บริษัท ฮีโน่ มอเตอร์ส แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด",NULL,NULL,"99 หมู่ 3","เทพารักษ์ ","เทพารักษ์","เมือง","สมุทรปราการ","10270",,NULL,NULL,NULL
"112","1","บริษัท SCG YAMATO EXPRESS Co.,Ltd สาขาบางบัวทอง",NULL,NULL,"80/7","บางกรวย-ไทรน้อย (ปากซอยโชคมงคล)","บางบัวทอง ","บางบัวทอง ","นนทบุรี","11110",,NULL,NULL,NULL
"113","1","การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย แผนกปฏิบัติการสารสนเทศ",NULL,NULL,"53 หมู่ 3 ","จรัญสนิทวงศ์ ",,"บางกรวย","นนทบุรี","11130",,NULL,NULL,NULL
"114","1","การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย",NULL,NULL,"53 หมู่ 3 ","จรัญสนิทวงศ์ ",,"บางกรวย","นนทบุรี","11130",,NULL,NULL,NULL
"115","1","การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย",NULL,NULL,"53 หมู่ 3 ","จรัญสนิทวงศ์ ",,"บางกรวย","นนทบุรี","11130",,NULL,NULL,NULL
"116","1","บริษัท เทเลอินโฟมีเดีย จำกัด (มหาชน)",NULL,NULL,"1126/2 อาคารวานิช 2 ชั้น 28 ห้อง 2803-2804","เพชรบุรีตัดใหม่","มักกะสัน","ราชเทวี","กรุงเทพมหานคร","10400","022628888",NULL,NULL,NULL
"117","1","บริษัท Corporate HRIS",NULL,NULL,"อาคารซอฟแวร์พาร์ค ชั้นลอย","แจ้งวัฒนะ","คลองเกลือ","ปากเกร็ด","นนทบุรี","11120","025026173",NULL,NULL,NULL
"118","1","บริษัท คิวบ์ ซอฟท์เทค จำกัด",NULL,NULL,"160/170-2 อาคารไอทีเอฟ-สีลมพาเลส ชั้น 13","สีลม","สุริยวงศ์","บางรัก","กรุงเทพมหานคร","10500","026798855",NULL,NULL,NULL
"119","1","กรมราชทัณฑ์",NULL,NULL,"222 ","นนทบุรี 1","สวนใหญ่","เมือง","นนทบุรี","11000","029672222",NULL,NULL,NULL
"120","1","ศูนย์เทคโนโลยีสารสนเทศ กรมวิทยาศาสตร์การแพทย์ กระทรวงสาธารณะสุข",NULL,NULL,"88/7","ติวานนท์","ตลาดขวัญ","เมือง","นนทบุรี","11000","029511453",NULL,NULL,NULL
"121","1","บริษัท แทนเจอรีน จำกัด",NULL,NULL,"อาคารกรุงเทพประกันภัย 25 ชั้น23","สาทรใต้","ทุ่งมหาเมฆ","สาธร","กรุงเทพมหานคร","10120","023538600",NULL,NULL,NULL
